iter	RMSE
0	0.4909760495
1	0.4787573475
2	0.467467016
3	0.4569866001
4	0.4468004319
5	0.4373349906
6	0.4285669857
7	0.4206726183
8	0.4124408953
9	0.4053216315
10	0.3986046063
11	0.3920205032
12	0.3859425624
13	0.380212237
14	0.3748522893
15	0.3698132389
16	0.3653005608
17	0.3605478452
18	0.3569340087
19	0.3529659211
20	0.350096914
21	0.346097517
22	0.3432371317
23	0.3398940538
24	0.3371089426
25	0.3343675081
26	0.3312330643
27	0.3283913856
28	0.3264380653
29	0.3242117546
30	0.3231225731
31	0.3209207667
32	0.3196939771
33	0.3179308366
34	0.3167038218
35	0.3157763794
36	0.3146324317
37	0.3129882028
38	0.3112124764
39	0.3102073743
40	0.3096862555
41	0.3080887504
42	0.3070145272
43	0.305624833
44	0.3043216213
45	0.3031531805
46	0.3022582301
47	0.3010198004
48	0.2997781455
49	0.2985997547
50	0.2977112322
51	0.2969360446
52	0.2962220784
53	0.2951929376
54	0.2944313342
55	0.2936191364
56	0.2928560642
57	0.2922479551
58	0.2917394582
59	0.2912763747
60	0.2906565042
61	0.2900157549
62	0.2894687316
63	0.2889946945
64	0.2885686692
65	0.2882701654
66	0.2876817396
67	0.2870923135
68	0.2865663236
69	0.2861940886
70	0.2857175937
71	0.2854014756
72	0.2851151954
73	0.2848655452
74	0.2842680919
75	0.2837900715
76	0.2834223943
77	0.2828377631
78	0.2824538423
79	0.2821412708
80	0.2817735108
81	0.2812803074
82	0.2809157416
83	0.2805496717
84	0.2801819509
85	0.2798582955
86	0.2795595167
87	0.2793037537
88	0.2790002171
89	0.2786234764
90	0.2782458897
91	0.2779699004
92	0.2775937593
93	0.2773808491
94	0.2769835676
95	0.2767883645
96	0.2764938776
97	0.276227197
98	0.2759889753
99	0.2757888335
100	0.275686094
101	0.275421959
102	0.2752174719
103	0.2750507354
104	0.2747359913
105	0.274433629
106	0.2741002417
107	0.2738488642
108	0.2736276538
109	0.2734263903
110	0.273178785
111	0.2729634141
112	0.2727315943
113	0.2725253031
114	0.2722854
115	0.2720580757
116	0.2718507269
117	0.2715465085
118	0.2713928017
119	0.2711085355
120	0.2709549682
121	0.2707078963
122	0.2704883323
123	0.2703588411
124	0.2701874448
125	0.2700057851
126	0.2698410211
127	0.2696212705
128	0.2692901815
129	0.2690511637
130	0.268977445
131	0.2689310464
132	0.2687130075
133	0.2685676716
134	0.2684218442
135	0.268199993
136	0.2679967826
137	0.2678900972
138	0.2676930812
139	0.2675562148
140	0.2673489147
141	0.2672024351
142	0.2670388065
143	0.2669013626
144	0.2667215499
145	0.2665475441
146	0.2664106816
147	0.2662899675
148	0.2662338383
149	0.266098053
150	0.2660669175
151	0.2659164396
152	0.2656906829
153	0.2655257306
154	0.2653754279
155	0.2652847954
156	0.2651047152
157	0.2649376012
158	0.2647714115
159	0.2646182845
160	0.2644954054
161	0.2643777665
162	0.2642131945
163	0.2640937509
164	0.2640123606
165	0.2639340381
166	0.2637813152
167	0.2636479918
168	0.2635425894
169	0.2634449936
170	0.2633132018
171	0.2631846278
172	0.262974126
173	0.2627812666
174	0.2626255408
175	0.2625053126
176	0.2623948173
177	0.2622490152
178	0.2620281878
179	0.2618454442
180	0.2617648034
181	0.2616200344
182	0.2614266201
183	0.2612562494
184	0.2611194378
185	0.2610018055
186	0.2608329087
187	0.2605988401
188	0.2605027458
189	0.260387997
190	0.260285567
191	0.2601505575
192	0.2600327892
193	0.2598906418
194	0.2597345173
195	0.2596019715
196	0.2594673554
197	0.2593326272
198	0.2591336543
199	0.2590484308
200	0.2588966961
201	0.2588340031
202	0.2586522802
203	0.2585251063
204	0.2583364905
205	0.258121566
206	0.2580108559
207	0.2577921844
208	0.2576934508
209	0.257551845
210	0.2573481002
211	0.2571922697
212	0.2569782245
213	0.2568286319
214	0.2567425867
215	0.2566110199
216	0.2564669026
217	0.2563661035
218	0.2562355543
219	0.2561237334
220	0.25599927
221	0.2558237926
222	0.2556982688
223	0.2556037366
224	0.2554714627
225	0.2553504769
226	0.2552463116
227	0.2551496617
228	0.2550561095
229	0.2549553285
230	0.2548454925
231	0.2547581822
232	0.2546603881
233	0.2544793147
234	0.2543803284
235	0.2543002918
236	0.2542119556
237	0.2541206972
238	0.2539465052
239	0.2538407928
240	0.2537275219
241	0.2536425708
242	0.2534289084
243	0.2533329299
244	0.2532415425
245	0.2531579447
246	0.2530848152
247	0.2529924258
248	0.2529247674
249	0.2528123403
250	0.252612647
251	0.2525274058
252	0.2524501307
253	0.2523770318
254	0.2522208283
255	0.2520184858
256	0.2519490724
257	0.2517869766
258	0.2516404613
259	0.2515250488
260	0.2514024767
261	0.2513183603
262	0.2512114038
263	0.2511225901
264	0.2510446557
265	0.2508804614
266	0.250800395
267	0.2505862965
268	0.2505051053
269	0.2502962685
270	0.2501880708
271	0.2500909295
272	0.2498964325
273	0.2497463707
274	0.2496593473
275	0.2494879059
276	0.2493496139
277	0.2492470011
278	0.249114549
279	0.2490317243
280	0.24894701
281	0.2488764833
282	0.2487968203
283	0.2486274406
284	0.2485428865
285	0.2484289581
286	0.2483254784
287	0.2482468412
288	0.2481761644
289	0.24810898
290	0.2480505701
291	0.2479669399
292	0.2478346974
293	0.24770423
294	0.2475312103
295	0.2474321345
296	0.2472950842
297	0.2472289698
298	0.2470562221
299	0.2468969556
300	0.2467617288
301	0.2466917925
302	0.2465857218
303	0.2465066025
304	0.2463951199
305	0.2462443211
306	0.2461748721
307	0.2460205009
308	0.2459624112
309	0.2458510321
310	0.2457750426
311	0.2456940915
312	0.245618749
313	0.2455342364
314	0.2454667908
315	0.2454006165
316	0.2452947083
317	0.245193882
318	0.245024621
319	0.2448594652
320	0.2447758616
321	0.2446949635
322	0.2445745341
323	0.2445077379
324	0.2444417468
325	0.2442845377
326	0.2442108033
327	0.244129076
328	0.2440390932
329	0.2439702566
330	0.2438797277
331	0.2438003421
332	0.2436448094
333	0.2435892531
334	0.2435385158
335	0.2434453219
336	0.2433147243
337	0.2432439845
338	0.2431209076
339	0.2430141566
340	0.2429734816
341	0.2428558894
342	0.2428058896
343	0.2426446488
344	0.2425485077
345	0.2424177113
346	0.2423556071
347	0.2422899601
348	0.2421821889
349	0.2421120331
350	0.2420237332
351	0.2419520654
352	0.2418212265
353	0.2417707753
354	0.2416511603
355	0.2415853239
356	0.2414952282
357	0.2414393127
358	0.2413130241
359	0.2412631522
360	0.2412006553
361	0.2411283716
362	0.2410627588
363	0.2409574902
364	0.2409062915
365	0.2408304185
366	0.240727338
367	0.2406207822
368	0.2405523022
369	0.2404927479
370	0.2403904434
371	0.2403061164
372	0.2402420779
373	0.240160536
374	0.2401092006
375	0.2399881681
376	0.2399180455
377	0.2398411919
378	0.2397962584
379	0.2396995977
380	0.2396147193
381	0.2395604762
382	0.2394672428
383	0.239369949
384	0.2393148198
385	0.23922457
386	0.2390764781
387	0.238990821
388	0.2388905535
389	0.23879502
390	0.2386889958
391	0.2385987501
392	0.2384741032
393	0.238393429
394	0.2383088309
395	0.2381505304
396	0.2380320692
397	0.2379847045
398	0.2378244737
399	0.2377063588
400	0.2375970204
401	0.2375465575
402	0.2374980612
403	0.2374416406
404	0.2373438809
405	0.2372940331
406	0.2372319043
407	0.2371396187
408	0.2370547473
409	0.2369970506
410	0.2369292015
411	0.2368657037
412	0.2368063714
413	0.2367215717
414	0.2366647953
415	0.2365910925
416	0.2365057196
417	0.2364141965
418	0.2363354978
419	0.2362245204
420	0.2361713922
421	0.2360715584
422	0.2359722145
423	0.2358792849
424	0.23580709
425	0.2357344216
426	0.2356705855
427	0.2356173235
428	0.2355080272
429	0.2353808512
430	0.2353312572
431	0.2352213143
432	0.2351644315
433	0.2350541348
434	0.235003852
435	0.2348788541
436	0.2347894937
437	0.2347216241
438	0.2346672989
439	0.234565428
440	0.2345047841
441	0.234443408
442	0.2343734805
443	0.2343166754
444	0.2342680324
445	0.2341960587
446	0.2341283366
447	0.2340588393
448	0.2339606136
449	0.2339111132
450	0.2338565036
451	0.2337837358
452	0.233735065
453	0.2336431729
454	0.2335889279
455	0.2335431823
456	0.2334943614
457	0.2334267574
458	0.2333212113
459	0.2332504946
460	0.2331573564
461	0.2331149171
462	0.2330381823
463	0.2329546288
464	0.2328981375
465	0.2328615352
466	0.2327992616
467	0.2327513343
468	0.2326869621
469	0.232618003
470	0.2325588267
471	0.2325215891
472	0.2324356643
473	0.2323679669
474	0.2323031836
475	0.2322468375
476	0.2321178745
477	0.2320229331
478	0.2319089652
479	0.231811187
480	0.2317739806
481	0.2317016824
482	0.2316630505
483	0.2315445447
484	0.2314280035
485	0.2313668184
486	0.2312998187
487	0.2312628088
488	0.2311845531
489	0.2311184947
490	0.2310431973
491	0.2309661871
492	0.2308704638
493	0.2308531224
494	0.2308128158
495	0.2307374874
496	0.2306501563
497	0.2305666894
498	0.2304846814
499	0.2304279487
500	0.2304012183
501	0.2303343798
502	0.2302860601
503	0.2302091956
504	0.2301514671
505	0.2300562233
506	0.2300017478
507	0.2298988479
508	0.2298063928
509	0.2297378851
510	0.2296627623
511	0.2295930702
512	0.2295008769
513	0.2294237555
514	0.229362638
515	0.2292973455
516	0.2291401757
517	0.2290798853
518	0.2290352587
519	0.2289565112
520	0.2289189156
521	0.2288546063
522	0.2287826626
523	0.2286928261
524	0.2285930342
525	0.2285360619
526	0.228487616
527	0.2284053397
528	0.2283673143
529	0.2283100735
530	0.228245601
531	0.2281778176
532	0.2281231309
533	0.2280790552
534	0.2280291845
535	0.2279695636
536	0.2278880454
537	0.2278381827
538	0.2277809871
539	0.2277149159
540	0.2276517988
541	0.2276065269
542	0.2275648034
543	0.2274973319
544	0.2274381848
545	0.227363025
546	0.2272779475
547	0.227208053
548	0.2271387053
549	0.2270631796
550	0.2270222301
551	0.2269548524
552	0.2268780231
553	0.2267753449
554	0.2266933508
555	0.2266189642
556	0.2265697423
557	0.2265146826
558	0.2264614964
559	0.2264314721
560	0.2263684393
561	0.2263525816
562	0.2262721586
563	0.2261782157
564	0.2260797903
565	0.2260145815
566	0.2259259085
567	0.2258790922
568	0.2258638974
569	0.2258047669
570	0.2257230366
571	0.2256509217
572	0.2256107033
573	0.2255440086
574	0.2254964444
575	0.2254306829
576	0.2253796778
577	0.2253270458
578	0.2252465145
579	0.2252166251
580	0.2251611595
581	0.2250931738
582	0.2250295885
583	0.2249600375
584	0.224873447
585	0.2248187384
586	0.2247590954
587	0.2246822191
588	0.2246067144
589	0.2245292559
590	0.2244618095
591	0.224417264
592	0.2243400104
593	0.224277574
594	0.224231482
595	0.2241649222
596	0.2240627806
597	0.2240137421
598	0.22394908
599	0.2238963611
600	0.2238396804
601	0.2237790846
602	0.2237443664
603	0.2236923785
604	0.223637668
605	0.2235534804
606	0.2234931722
607	0.2234334993
608	0.2233864504
609	0.2233346372
610	0.2232568251
611	0.2231944905
612	0.2231181077
613	0.2230699547
614	0.2230375842
615	0.2229539968
616	0.2228992736
617	0.2228130641
618	0.2227210635
619	0.2226801917
620	0.2226014526
621	0.2225229164
622	0.2224555877
623	0.2224065666
624	0.2223533979
625	0.2223057032
626	0.2222435395
627	0.2222084112
628	0.2221744279
629	0.2221168467
630	0.2220663765
631	0.2219935839
632	0.221880176
633	0.2218298437
634	0.2217563854
635	0.2216915198
636	0.221631214
637	0.2215994706
638	0.2215622619
639	0.2215397709
640	0.2214753391
641	0.2214141339
642	0.2213537493
643	0.2213269607
644	0.2212788931
645	0.2212241258
646	0.2211392969
647	0.2210626003
648	0.220998545
649	0.2209478097
650	0.220893175
651	0.2208534556
652	0.2208200072
653	0.2207550227
654	0.220732802
655	0.2206865808
656	0.2206200796
657	0.2205876697
658	0.2205572677
659	0.2204827658
660	0.2204073923
661	0.2203474725
662	0.2202958388
663	0.220257009
664	0.2201963716
665	0.2201536771
666	0.2200966289
667	0.2200610545
668	0.2199571369
669	0.2199056392
670	0.2198400117
671	0.2197909977
672	0.2197535337
673	0.2196823391
674	0.2196396127
675	0.2195844168
676	0.2195303808
677	0.219490004
678	0.2194566929
679	0.2193852593
680	0.2193582819
681	0.2193228279
682	0.2192625793
683	0.2192377452
684	0.2191552992
685	0.2191019479
686	0.2190623505
687	0.2190148854
688	0.2189751458
689	0.218903718
690	0.2188764766
691	0.218846368
692	0.2187895575
693	0.2187384549
694	0.2186951418
695	0.2186346674
696	0.2185868132
697	0.2185117251
698	0.2184889031
699	0.2184397236
700	0.2183972481
701	0.21835426
702	0.2182968396
703	0.2182307278
704	0.2181694526
705	0.2181136994
706	0.2180179403
707	0.2179448165
708	0.2179055106
709	0.2178462456
710	0.2178266736
711	0.2177668465
712	0.2176986496
713	0.2176302941
714	0.2175703927
715	0.2174980179
716	0.2174428087
717	0.217389251
718	0.2173461758
719	0.2172772062
720	0.2172417162
721	0.2171811274
722	0.217134066
723	0.2170737519
724	0.2170247337
725	0.2169621309
726	0.2169146144
727	0.2168511155
728	0.2168091642
729	0.2167495418
730	0.2166934862
731	0.2166203227
732	0.216587361
733	0.2165483907
734	0.2165195718
735	0.216455462
736	0.2164089395
737	0.2163742121
738	0.216321469
739	0.2162672771
740	0.2162112163
741	0.216179149
742	0.2161177632
743	0.2160715485
744	0.2160168797
745	0.2159637486
746	0.2158926178
747	0.2158506036
748	0.2157972765
749	0.2157159101
750	0.2156520735
751	0.2156044655
752	0.2155590264
753	0.2155212053
754	0.215460919
755	0.2154192587
756	0.2153812757
757	0.2153557592
758	0.2153127065
759	0.2152515089
760	0.2152018494
761	0.2151660031
762	0.2151079363
763	0.2150588134
764	0.2149896947
765	0.2149195482
766	0.2148689512
767	0.2148175591
768	0.2147772449
769	0.2147242083
770	0.214703812
771	0.2146386653
772	0.2145879592
773	0.2145270246
774	0.2144885058
775	0.214435048
776	0.2143541188
777	0.2143139186
778	0.2142761952
779	0.2142166731
780	0.2141664178
781	0.2141192761
782	0.2140533913
783	0.2139934305
784	0.213948168
785	0.2138956181
786	0.2138352273
787	0.213794401
788	0.2137569889
789	0.2137121351
790	0.2136629194
791	0.2136078687
792	0.2135833407
793	0.2135300647
794	0.213436681
795	0.2134014624
796	0.2133691888
797	0.2133381264
798	0.2133012853
799	0.2132459469
800	0.2131961149
801	0.2131306449
802	0.2131025842
803	0.2130699953
804	0.2130030221
805	0.2129472779
806	0.2128865976
807	0.212844479
808	0.2127995409
809	0.2127389693
810	0.2127026969
811	0.2126632931
812	0.2126131207
813	0.2125450638
814	0.2124973212
815	0.2124521767
816	0.2124066291
817	0.2123551341
818	0.2123410587
819	0.2123097076
820	0.2122592418
821	0.2121747869
822	0.2121209598
823	0.2120761631
824	0.2120412057
825	0.2119810108
826	0.2119329935
827	0.2119049159
828	0.2118750089
829	0.2118364323
830	0.2117761182
831	0.2117280732
832	0.2116717863
833	0.2116358425
834	0.2115747542
835	0.21154856
836	0.2115222515
837	0.211503774
838	0.2114587362
839	0.211405647
840	0.2113598722
841	0.2113016313
842	0.21126264
843	0.2112279071
844	0.2111769918
845	0.2111378243
846	0.211105681
847	0.2110783712
848	0.2110458233
849	0.2110069629
850	0.2109765351
851	0.21095576
852	0.2109169268
853	0.2108696333
854	0.2108427693
855	0.2107848832
856	0.2107308768
857	0.2107021948
858	0.210644858
859	0.2105902437
860	0.2105582602
861	0.2104868657
862	0.210434666
863	0.210406231
864	0.2103153186
865	0.2102729402
866	0.2102434858
867	0.2102104459
868	0.2101569794
869	0.2101074537
870	0.2100839328
871	0.210041261
872	0.2099834125
873	0.2099164406
874	0.2098467335
875	0.2097982096
876	0.2097650525
877	0.2097075035
878	0.2096731004
879	0.2096269893
880	0.2095814649
881	0.2095230657
882	0.2094817731
883	0.2094083712
884	0.2093838981
885	0.2093503084
886	0.2093057787
887	0.2092691054
888	0.2092297977
889	0.2091982462
890	0.2091680108
891	0.2091183611
892	0.2090464553
893	0.2090154595
894	0.2089620331
895	0.2089187986
896	0.2088724161
897	0.2088316673
