iter	Passed	Remaining
0	29	26515
1	49	22288
2	64	19428
3	86	19270
4	115	20669
5	141	21113
6	167	21328
7	195	21848
8	221	21961
9	252	22449
10	290	23454
11	315	23333
12	342	23370
13	367	23278
14	390	23032
15	414	22912
16	442	22963
17	474	23251
18	510	23691
19	546	24048
20	561	23503
21	591	23623
22	645	24623
23	676	24686
24	734	25724
25	765	25744
26	790	25562
27	813	25347
28	865	25984
29	886	25721
30	892	25012
31	913	24766
32	920	24187
33	941	23987
34	948	23452
35	954	22910
36	975	22746
37	996	22615
38	1017	22472
39	1037	22314
40	1041	21820
41	1064	21741
42	1085	21624
43	1105	21510
44	1125	21377
45	1147	21298
46	1166	21177
47	1183	21008
48	1200	20850
49	1216	20685
50	1233	20540
51	1251	20413
52	1270	20302
53	1290	20222
54	1310	20132
55	1332	20082
56	1351	19994
57	1371	19904
58	1390	19823
59	1409	19736
60	1429	19659
61	1449	19595
62	1469	19522
63	1489	19453
64	1515	19470
65	1541	19478
66	1573	19556
67	1601	19592
68	1631	19651
69	1656	19639
70	1681	19636
71	1692	19465
72	1720	19491
73	1726	19268
74	1755	19305
75	1796	19477
76	1940	20740
77	1961	20674
78	1983	20612
79	2001	20515
80	2020	20432
81	2040	20353
82	2061	20289
83	2080	20206
84	2099	20134
85	2119	20057
86	2150	20096
87	2169	20014
88	2189	19947
89	2208	19880
90	2228	19810
91	2247	19736
92	2267	19679
93	2274	19506
94	2297	19466
95	2315	19396
96	2336	19339
97	2355	19275
98	2374	19214
99	2394	19156
100	2405	19028
101	2427	18994
102	2447	18937
103	2466	18877
104	2486	18828
105	2506	18772
106	2525	18717
107	2546	18673
108	2566	18624
109	2585	18572
110	2604	18512
111	2658	18703
112	2680	18670
113	2699	18610
114	2718	18553
115	2743	18542
116	2761	18481
117	2781	18433
118	2801	18387
119	2819	18324
120	2837	18269
121	2857	18220
122	2875	18165
123	2896	18123
124	2917	18085
125	2939	18057
126	2964	18043
127	2990	18036
128	3015	18022
129	3039	18001
130	3056	17939
131	3061	17814
132	3089	17814
133	3110	17781
134	3131	17744
135	3154	17718
136	3180	17715
137	3196	17651
138	3220	17629
139	3241	17598
140	3263	17569
141	3287	17546
142	3310	17525
143	3336	17515
144	3358	17487
145	3384	17476
146	3409	17463
147	3438	17470
148	3446	17372
149	3474	17372
150	3479	17258
151	3505	17250
152	3529	17232
153	3553	17212
154	3575	17184
155	3595	17148
156	3622	17141
157	3651	17147
158	3675	17128
159	3699	17109
160	3722	17086
161	3748	17074
162	3770	17048
163	3790	17009
164	3800	16928
165	3823	16904
166	3843	16869
167	3864	16836
168	3870	16743
169	3890	16704
170	3908	16661
171	3929	16629
172	3948	16594
173	3975	16588
174	4001	16579
175	4021	16543
176	4042	16511
177	4064	16484
178	4086	16460
179	4108	16434
180	4131	16412
181	4154	16388
182	4178	16371
183	4201	16347
184	4224	16328
185	4246	16301
186	4272	16290
187	4294	16264
188	4313	16228
189	4334	16197
190	4354	16162
191	4376	16136
192	4396	16104
193	4417	16074
194	4437	16044
195	4459	16018
196	4481	15990
197	4502	15963
198	4523	15933
199	4541	15896
200	4561	15863
201	4581	15832
202	4602	15803
203	4624	15778
204	4645	15748
205	4667	15723
206	4688	15696
207	4709	15667
208	4729	15635
209	4749	15606
210	4773	15586
211	4793	15556
212	4813	15526
213	4833	15493
214	4854	15465
215	4875	15437
216	4895	15409
217	4917	15383
218	4937	15354
219	4958	15326
220	4985	15317
221	5006	15289
222	5026	15258
223	5045	15227
224	5067	15202
225	5087	15173
226	5108	15145
227	5127	15114
228	5149	15088
229	5170	15061
230	5190	15033
231	5210	15003
232	5229	14971
233	5251	14946
234	5273	14923
235	5293	14892
236	5312	14861
237	5334	14836
238	5355	14812
239	5376	14785
240	5397	14760
241	5417	14729
242	5436	14699
243	5457	14672
244	5478	14645
245	5499	14620
246	5521	14597
247	5542	14570
248	5566	14552
249	5587	14528
250	5607	14500
251	5630	14479
252	5659	14473
253	5682	14451
254	5704	14428
255	5726	14404
256	5747	14380
257	5786	14398
258	5804	14365
259	5823	14334
260	5844	14309
261	5865	14283
262	5886	14257
263	5907	14231
264	5927	14203
265	5947	14174
266	5972	14159
267	5996	14140
268	6016	14113
269	6036	14085
270	6058	14062
271	6078	14034
272	6099	14009
273	6119	13981
274	6140	13955
275	6160	13927
276	6181	13903
277	6202	13877
278	6224	13855
279	6243	13825
280	6267	13807
281	6288	13780
282	6308	13752
283	6328	13726
284	6348	13699
285	6367	13670
286	6388	13644
287	6408	13617
288	6430	13594
289	6452	13571
290	6472	13544
291	6491	13516
292	6511	13489
293	6532	13464
294	6554	13441
295	6572	13412
296	6592	13385
297	6613	13359
298	6639	13345
299	6665	13330
300	6694	13321
301	6719	13304
302	6743	13287
303	6770	13273
304	6798	13262
305	6822	13244
306	6847	13226
307	6873	13211
308	6898	13193
309	6925	13179
310	6952	13167
311	6982	13160
312	7005	13138
313	7026	13113
314	7047	13088
315	7067	13060
316	7088	13035
317	7108	13008
318	7131	12988
319	7151	12961
320	7171	12935
321	7191	12909
322	7213	12885
323	7234	12861
324	7254	12835
325	7275	12810
326	7297	12786
327	7317	12760
328	7339	12738
329	7359	12711
330	7379	12686
331	7399	12659
332	7420	12634
333	7446	12619
334	7470	12599
335	7492	12577
336	7513	12551
337	7536	12530
338	7556	12505
339	7577	12480
340	7596	12453
341	7617	12428
342	7644	12413
343	7668	12395
344	7693	12376
345	7714	12351
346	7736	12329
347	7756	12303
348	7776	12277
349	7795	12250
350	7815	12224
351	7836	12199
352	7855	12172
353	7875	12146
354	7895	12121
355	7915	12095
356	7939	12075
357	7959	12050
358	7983	12030
359	8005	12007
360	8026	11983
361	8045	11957
362	8066	11933
363	8087	11909
364	8107	11883
365	8129	11861
366	8149	11835
367	8171	11813
368	8195	11792
369	8217	11771
370	8238	11747
371	8258	11721
372	8279	11698
373	8300	11673
374	8321	11650
375	8341	11625
376	8361	11599
377	8381	11574
378	8402	11551
379	8423	11527
380	8443	11501
381	8464	11477
382	8485	11454
383	8505	11429
384	8527	11406
385	8546	11380
386	8566	11355
387	8585	11329
388	8604	11303
389	8625	11279
390	8645	11254
391	8665	11229
392	8685	11205
393	8705	11179
394	8725	11154
395	8743	11128
396	8763	11103
397	8782	11077
398	8860	11125
399	8896	11120
400	8918	11097
401	8938	11073
402	8958	11047
403	8978	11023
404	9001	11001
405	9022	10978
406	9042	10953
407	9063	10929
408	9083	10904
409	9103	10879
410	9124	10856
411	9145	10832
412	9164	10806
413	9184	10782
414	9204	10757
415	9225	10733
416	9245	10709
417	9264	10683
418	9284	10658
419	9305	10635
420	9325	10610
421	9345	10585
422	9365	10560
423	9386	10537
424	9407	10514
425	9428	10490
426	9449	10467
427	9469	10443
428	9491	10421
429	9512	10397
430	9532	10372
431	9552	10348
432	9574	10326
433	9593	10300
434	9614	10278
435	9634	10253
436	9657	10232
437	9685	10215
438	9710	10196
439	9732	10175
440	9753	10151
441	9774	10128
442	9796	10106
443	9819	10084
444	9839	10061
445	9861	10037
446	9882	10014
447	9904	9992
448	9924	9968
449	9944	9944
450	9964	9920
451	9989	9901
452	10011	9878
453	10030	9853
454	10052	9831
455	10070	9805
456	10090	9781
457	10110	9757
458	10130	9733
459	10152	9710
460	10175	9690
461	10196	9667
462	10219	9645
463	10239	9621
464	10260	9598
465	10282	9576
466	10310	9560
467	10332	9537
468	10351	9513
469	10373	9491
470	10392	9465
471	10412	9441
472	10432	9418
473	10453	9394
474	10473	9371
475	10493	9346
476	10515	9324
477	10534	9300
478	10555	9277
479	10576	9254
480	10595	9229
481	10616	9206
482	10634	9180
483	10652	9155
484	10671	9131
485	10692	9108
486	10711	9083
487	10730	9059
488	10748	9034
489	10767	9009
490	10786	8984
491	10806	8961
492	10828	8939
493	10847	8914
494	10867	8891
495	10886	8867
496	10906	8843
497	10927	8820
498	10946	8796
499	10965	8772
500	10987	8750
501	11010	8729
502	11027	8703
503	11045	8678
504	11064	8654
505	11083	8630
506	11103	8607
507	11126	8586
508	11146	8562
509	11166	8539
510	11186	8515
511	11207	8492
512	11226	8468
513	11258	8454
514	11276	8429
515	11297	8407
516	11317	8383
517	11336	8359
518	11371	8348
519	11392	8325
520	11414	8303
521	11433	8279
522	11453	8256
523	11474	8233
524	11496	8211
525	11515	8187
526	11534	8164
527	11554	8140
528	11573	8116
529	11594	8094
530	11614	8071
531	11636	8049
532	11656	8026
533	11683	8007
534	11705	7985
535	11726	7963
536	11746	7940
537	11764	7916
538	11783	7892
539	11801	7867
540	11818	7842
541	11836	7818
542	11853	7793
543	11870	7768
544	11889	7744
545	11907	7720
546	11925	7696
547	11943	7671
548	11961	7647
549	11984	7626
550	12005	7604
551	12024	7580
552	12042	7556
553	12061	7532
554	12079	7509
555	12097	7484
556	12114	7460
557	12133	7436
558	12150	7412
559	12168	7388
560	12187	7364
561	12206	7341
562	12224	7317
563	12245	7295
564	12264	7271
565	12284	7249
566	12302	7225
567	12321	7201
568	12341	7179
569	12361	7156
570	12380	7133
571	12401	7111
572	12420	7088
573	12441	7065
574	12460	7042
575	12479	7019
576	12500	6997
577	12519	6974
578	12538	6951
579	12556	6927
580	12575	6904
581	12593	6880
582	12610	6857
583	12630	6834
584	12649	6811
585	12666	6787
586	12685	6764
587	12706	6742
588	12725	6719
589	12743	6695
590	12762	6672
591	12781	6650
592	12800	6626
593	12818	6603
594	12837	6580
595	12856	6557
596	12875	6534
597	12894	6512
598	12912	6488
599	12930	6465
600	12950	6443
601	12971	6421
602	12999	6402
603	13017	6379
604	13037	6357
605	13054	6333
606	13072	6310
607	13094	6288
608	13111	6265
609	13130	6242
610	13148	6219
611	13169	6197
612	13187	6174
613	13205	6150
614	13224	6128
615	13246	6107
616	13266	6085
617	13287	6063
618	13307	6041
619	13327	6019
620	13346	5996
621	13366	5974
622	13385	5951
623	13405	5929
624	13424	5906
625	13443	5884
626	13461	5861
627	13481	5839
628	13501	5816
629	13522	5795
630	13540	5772
631	13558	5749
632	13576	5726
633	13593	5703
634	13610	5680
635	13631	5658
636	13649	5635
637	13666	5612
638	13689	5591
639	13710	5569
640	13730	5548
641	13750	5525
642	13770	5503
643	13789	5481
644	13808	5458
645	13824	5435
646	13842	5412
647	13860	5390
648	13879	5367
649	13899	5345
650	13917	5323
651	13935	5300
652	13953	5278
653	13972	5255
654	14001	5237
655	14020	5214
656	14042	5193
657	14060	5171
658	14077	5148
659	14095	5125
660	14115	5103
661	14133	5081
662	14151	5058
663	14173	5037
664	14191	5015
665	14209	4992
666	14228	4970
667	14249	4948
668	14270	4927
669	14290	4905
670	14309	4883
671	14329	4861
672	14348	4839
673	14369	4818
674	14388	4796
675	14406	4773
676	14425	4751
677	14442	4729
678	14463	4707
679	14482	4685
680	14500	4663
681	14519	4641
682	14538	4618
683	14557	4597
684	14575	4574
685	14593	4552
686	14611	4530
687	14630	4508
688	14648	4486
689	14666	4463
690	14686	4441
691	14704	4419
692	14721	4397
693	14738	4374
694	14756	4352
695	14775	4330
696	14794	4308
697	14812	4286
698	14830	4264
699	14848	4242
700	14867	4220
701	14884	4198
702	14902	4176
703	14920	4153
704	14939	4132
705	14958	4110
706	14978	4088
707	15004	4069
708	15022	4047
709	15041	4025
710	15062	4003
711	15082	3982
712	15101	3960
713	15119	3938
714	15139	3917
715	15159	3895
716	15178	3873
717	15197	3852
718	15216	3830
719	15235	3808
720	15255	3787
721	15273	3765
722	15291	3743
723	15308	3721
724	15326	3699
725	15344	3677
726	15363	3656
727	15381	3634
728	15400	3612
729	15419	3590
730	15436	3568
731	15455	3547
732	15474	3525
733	15495	3504
734	15513	3482
735	15530	3460
736	15547	3438
737	15566	3416
738	15585	3395
739	15604	3373
740	15623	3352
741	15639	3330
742	15657	3308
743	15677	3287
744	15698	3266
745	15717	3244
746	15735	3223
747	15754	3201
748	15774	3180
749	15792	3158
750	15810	3136
751	15827	3115
752	15845	3093
753	15864	3071
754	15881	3050
755	15901	3028
756	15919	3007
757	15937	2985
758	15956	2964
759	15975	2942
760	16000	2922
761	16018	2901
762	16037	2879
763	16056	2858
764	16074	2836
765	16092	2815
766	16112	2793
767	16129	2772
768	16150	2751
769	16170	2730
770	16190	2708
771	16209	2687
772	16228	2666
773	16246	2644
774	16266	2623
775	16285	2602
776	16304	2581
777	16321	2559
778	16340	2538
779	16359	2516
780	16376	2495
781	16395	2473
782	16412	2452
783	16433	2431
784	16452	2410
785	16472	2389
786	16495	2368
787	16515	2347
788	16535	2326
789	16553	2304
790	16569	2283
791	16587	2261
792	16604	2240
793	16622	2219
794	16640	2197
795	16657	2176
796	16676	2155
797	16695	2134
798	16715	2112
799	16735	2091
800	16754	2070
801	16772	2049
802	16792	2028
803	16811	2007
804	16829	1986
805	16847	1964
806	16865	1943
807	16882	1922
808	16898	1900
809	16917	1879
810	16936	1858
811	16954	1837
812	16974	1816
813	16993	1795
814	17012	1774
815	17030	1753
816	17049	1732
817	17066	1710
818	17084	1689
819	17103	1668
820	17122	1647
821	17140	1626
822	17159	1605
823	17179	1584
824	17198	1563
825	17217	1542
826	17236	1521
827	17255	1500
828	17273	1479
829	17291	1458
830	17309	1437
831	17328	1416
832	17347	1395
833	17364	1374
834	17382	1353
835	17400	1332
836	17419	1311
837	17437	1290
838	17454	1269
839	17473	1248
840	17491	1227
841	17512	1206
842	17530	1185
843	17548	1164
844	17566	1143
845	17585	1122
846	17604	1101
847	17623	1080
848	17643	1059
849	17663	1039
850	17687	1018
851	17706	997
852	17731	976
853	17750	956
854	17769	935
855	17787	914
856	17806	893
857	17825	872
858	17843	851
859	17862	830
860	17879	809
861	17899	789
862	17918	768
863	17936	747
864	17954	726
865	17978	705
866	17999	685
867	18019	664
868	18037	643
869	18058	622
870	18077	601
871	18096	581
872	18114	560
873	18133	539
